college_code,college_name,avg_percentile,avg_rank,percentile_std,rank_std,data_points,stability_score,cluster
3203,"Atharva College of Engineering,Malad(West),Mumbai",76.23870880833333,69810.41666666667,20.073938562465738,44628.77579042763,60,0.04745197472394054,0
3204,"St. Francis Institute of Technology,Borivali, Mumbai",81.96329321634616,52109.74038461538,21.386021260515736,48454.41621361099,104,0.04467073395323675,0
3206,"S.S.P.M.'s College of Engineering, Kankavli",58.00394320357143,114265.67857142857,22.34563529169511,44712.90384719397,28,0.042834559330057566,3
3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",78.37458486136364,61933.28409090909,22.919054512305365,47651.86396275869,88,0.04180767260200612,0
3208,"Don Bosco Institute of Technology, Mumbai",83.80957268983052,46180.08474576271,21.888296311877028,48256.17465700298,59,0.0436904515029844,0
3209,K J Somaiya Institute of Technology,86.97198315882352,36911.58823529412,21.68127179522541,46679.45118445966,17,0.04408923842667888,0
3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",73.09387745833334,78337.41666666667,21.020186724783713,46086.397467559545,12,0.04541287558086419,0
3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",83.43696156947368,45432.87368421053,24.493083461213978,53688.95713872126,95,0.03922632589821601,0
3212,"Watumull Institute of Engineering & Technology, Ulhasnagar",56.55148748333334,112275.16666666667,31.326248944296818,65427.112619820444,6,0.030934612974216597,3
3214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",77.7538830641791,56355.77611940299,31.505632668973814,64601.02855683208,67,0.03076389898894312,3
3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",95.2179649372222,15156.06111111111,9.493763483189449,26390.085264969013,180,0.09529469590218574,4
3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",54.15891684210527,123650.21052631579,20.89472891558904,39257.154121650165,19,0.04567309345803319,6
